Meal_Name,Total_Calories,Total_Carbs,Total_Sugar,Total_Protein,30_min_change,60_min_change,90_min_change,120_min_change
Medium French Fries,365.0,48.0,0.3,4.0,14.0,68.0,162.0,157.0
Hard Boiled Egg,156.0,1.1,1.1,12.6,-38.0,-99.0,-156.0,-141.0
Boneless Skinless Chicken Thigh,186.0,0.0,0.0,27.0,-56.0,-95.0,-125.0,-134.0
Coffee,2.4,0.0,0.0,0.3,-13.0,-88.0,-105.0,-115.0
Hard Boiled Egg,156.0,1.1,1.1,12.6,-23.0,-79.0,-129.0,-108.0
Plain Bagel,277.0,55.0,8.9,11.0,2.0,37.0,79.0,107.0
Baked cheetos,840.0,120.0,6.0,12.0,28.0,118.0,105.0,104.0
Homemade Potato Chips,138.0,2.2,0.1,0.3,47.0,114.0,105.0,102.0
Scrambled Eggs with Jelly,169.0,1.8,1.6,11.0,26.0,104.0,106.0,102.0
Baked cheetos,700.0,100.0,5.0,10.0,4.0,114.0,96.0,100.0
